device,building,room,weather_type,date,from_time,to_time,time,no_of_people,time_stayed_mins,power
Heater,1,103,low cold,2018-01-19,06:00:00,07:00:00,early morning,12,32,2160
Heater,1,103,low cold,2018-01-19,07:00:00,08:00:00,morning,15,38,2869
Heater,1,103,low cold,2018-01-19,08:00:00,09:00:00,morning,5,40,2902
Heater,1,103,low cold,2018-01-19,08:00:00,09:00:00,morning,0,0,2181
Heater,1,103,low cold,2018-01-19,09:00:00,10:00:00,morning,1,11,2095
Heater,1,103,low cold,2018-01-19,09:00:00,10:00:00,morning,7,28,2837
Heater,1,103,low cold,2018-01-19,09:00:00,10:00:00,morning,8,50,2919
Heater,1,103,low cold,2018-01-19,10:00:00,11:00:00,morning,1,59,1615
Heater,1,103,low cold,2018-01-19,10:00:00,11:00:00,morning,12,39,1873
Heater,1,103,low cold,2018-01-19,11:00:00,12:00:00,morning,5,36,1695
Heater,1,103,low cold,2018-01-19,13:00:00,14:00:00,afternoon,0,0,2319
Heater,1,103,low cold,2018-01-19,14:00:00,15:00:00,afternoon,15,9,1629
Heater,1,103,low cold,2018-01-19,14:00:00,15:00:00,afternoon,1,34,2603
Heater,1,103,low cold,2018-01-19,15:00:00,16:00:00,afternoon,11,22,2239
Heater,1,103,low cold,2018-01-19,16:00:00,17:00:00,evening,14,43,2159
Heater,1,103,low cold,2018-01-19,18:00:00,19:00:00,evening,8,59,1614
Heater,1,103,low cold,2018-01-19,18:00:00,19:00:00,evening,3,9,2634
Heater,1,103,low cold,2018-01-19,18:00:00,19:00:00,evening,9,1,2048
Heater,1,103,low cold,2018-01-19,20:00:00,21:00:00,night,6,29,2338
Heater,1,103,low cold,2018-01-19,20:00:00,21:00:00,night,15,17,2199
Heater,1,103,low cold,2018-01-19,21:00:00,22:00:00,night,7,50,2309
Heater,1,103,low cold,2018-01-19,21:00:00,22:00:00,night,12,34,2631
Heater,1,103,low cold,2018-01-19,22:00:00,23:00:00,night,8,11,2233
Heater,1,103,low cold,2018-01-20,00:00:00,01:00:00,midnight,8,58,2344
Heater,1,103,low cold,2018-01-20,01:00:00,02:00:00,midnight,6,32,1596
Heater,1,103,low cold,2018-01-20,02:00:00,03:00:00,midnight,14,9,1634
Heater,1,103,low cold,2018-01-20,02:00:00,03:00:00,midnight,15,16,2708
Heater,1,103,low cold,2018-01-20,03:00:00,04:00:00,midnight,2,12,1957
Heater,1,103,low cold,2018-01-20,04:00:00,05:00:00,early morning,0,0,2680
Heater,1,103,low cold,2018-01-20,06:00:00,07:00:00,early morning,7,32,2938
Heater,1,103,low cold,2018-01-20,07:00:00,08:00:00,morning,0,0,2209
Heater,1,103,low cold,2018-01-20,08:00:00,09:00:00,morning,10,10,2503
Heater,1,103,low cold,2018-01-20,14:00:00,15:00:00,afternoon,10,48,1854
Heater,1,103,low cold,2018-01-20,14:00:00,15:00:00,afternoon,9,6,2751
Heater,1,103,low cold,2018-01-20,15:00:00,16:00:00,afternoon,9,25,2538
Heater,1,103,low cold,2018-01-20,16:00:00,17:00:00,evening,12,8,2040
Heater,1,103,low cold,2018-01-20,17:00:00,18:00:00,evening,13,15,1554
Heater,1,103,low cold,2018-01-20,18:00:00,19:00:00,evening,12,8,2609
Heater,1,103,low cold,2018-01-20,19:00:00,20:00:00,night,11,28,1736
Heater,1,103,low cold,2018-01-20,20:00:00,21:00:00,night,0,0,1711
Heater,1,103,low cold,2018-01-20,21:00:00,22:00:00,night,12,41,2077
Heater,1,103,low cold,2018-01-20,21:00:00,22:00:00,night,15,50,2110
Heater,1,103,low cold,2018-01-20,22:00:00,23:00:00,night,9,40,2581
Heater,1,103,low cold,2018-01-21,00:00:00,01:00:00,midnight,4,7,1803
Heater,1,103,low cold,2018-01-21,02:00:00,03:00:00,midnight,1,17,1867
Heater,1,103,low cold,2018-01-21,02:00:00,03:00:00,midnight,5,46,2743
Heater,1,103,low cold,2018-01-21,03:00:00,04:00:00,midnight,5,2,2253
Heater,1,103,low cold,2018-01-21,03:00:00,04:00:00,midnight,12,42,1885
Heater,1,103,low cold,2018-01-21,04:00:00,05:00:00,early morning,2,37,2009
Heater,1,103,low cold,2018-01-21,05:00:00,06:00:00,early morning,4,45,2332
Heater,1,103,low cold,2018-01-21,05:00:00,06:00:00,early morning,11,4,2460
Heater,1,103,low cold,2018-01-21,08:00:00,09:00:00,morning,6,56,2959
Heater,1,103,low cold,2018-01-21,09:00:00,10:00:00,morning,13,22,1573
Heater,1,103,low cold,2018-01-21,11:00:00,12:00:00,morning,12,37,2989
Heater,1,103,low cold,2018-01-21,16:00:00,17:00:00,evening,11,33,2983
Heater,1,103,low cold,2018-01-21,16:00:00,17:00:00,evening,2,1,1777
Heater,1,103,low cold,2018-01-21,17:00:00,18:00:00,evening,10,27,2319
Heater,1,103,low cold,2018-01-21,18:00:00,19:00:00,evening,1,51,2450
Heater,1,103,low cold,2018-01-21,19:00:00,20:00:00,night,10,12,2123
Heater,1,103,low cold,2018-01-21,22:00:00,23:00:00,night,10,42,1970
Heater,1,103,low cold,2018-01-22,01:00:00,02:00:00,midnight,9,47,2405
Heater,1,103,low cold,2018-01-22,03:00:00,04:00:00,midnight,2,12,2528
Heater,1,103,low cold,2018-01-22,03:00:00,04:00:00,midnight,10,7,1806
Heater,1,103,low cold,2018-01-22,04:00:00,05:00:00,early morning,12,44,2913
Heater,1,103,low cold,2018-01-22,05:00:00,06:00:00,early morning,14,5,2208
Heater,1,103,low cold,2018-01-22,05:00:00,06:00:00,early morning,15,24,2631
Heater,1,103,low cold,2018-01-22,06:00:00,07:00:00,early morning,8,26,1747
Heater,1,103,low cold,2018-01-22,06:00:00,07:00:00,early morning,13,13,1598
Heater,1,103,low cold,2018-01-22,07:00:00,08:00:00,morning,11,43,2404
Heater,1,103,low cold,2018-01-22,09:00:00,10:00:00,morning,5,16,1868
Heater,1,103,low cold,2018-01-22,09:00:00,10:00:00,morning,6,32,2362
Heater,1,103,low cold,2018-01-22,09:00:00,10:00:00,morning,4,11,2842
Heater,1,103,low cold,2018-01-22,10:00:00,11:00:00,morning,12,11,2599
Heater,1,103,low cold,2018-01-22,15:00:00,16:00:00,afternoon,12,39,2104
Heater,1,103,low cold,2018-01-22,16:00:00,17:00:00,evening,5,37,2318
Heater,1,103,low cold,2018-01-22,17:00:00,18:00:00,evening,0,0,2939
Heater,1,103,low cold,2018-01-22,22:00:00,23:00:00,night,8,45,2237
Heater,1,103,low cold,2018-01-22,23:00:00,00:00:00,midnight,3,21,2156
Heater,1,103,low cold,2018-01-23,04:00:00,05:00:00,early morning,10,47,2709
Heater,1,103,low cold,2018-01-23,18:00:00,19:00:00,evening,8,52,2994
AC,1,104,low cold,2018-01-01,01:00:00,02:00:00,midnight,15,38,1209
AC,1,104,low cold,2018-01-01,03:00:00,04:00:00,midnight,3,56,1870
AC,1,104,low cold,2018-01-01,03:00:00,04:00:00,midnight,10,20,1147
AC,1,104,low cold,2018-01-01,03:00:00,04:00:00,midnight,15,27,1227
AC,1,104,low cold,2018-01-01,07:00:00,08:00:00,morning,12,28,1191
AC,1,104,low cold,2018-01-01,12:00:00,13:00:00,afternoon,6,49,1197
AC,1,104,low cold,2018-01-01,13:00:00,14:00:00,afternoon,6,8,1931
AC,1,104,low cold,2018-01-01,14:00:00,15:00:00,afternoon,14,16,1466
AC,1,104,low cold,2018-01-01,17:00:00,18:00:00,evening,6,59,1781
AC,1,104,low cold,2018-01-01,18:00:00,19:00:00,evening,10,45,1289
AC,1,104,low cold,2018-01-01,20:00:00,21:00:00,night,10,17,1684
AC,1,104,low cold,2018-01-01,23:00:00,00:00:00,midnight,3,45,1494
AC,1,104,low cold,2018-01-02,00:00:00,01:00:00,midnight,7,20,1207
AC,1,104,low cold,2018-01-02,03:00:00,04:00:00,midnight,0,0,1765
AC,1,104,low cold,2018-01-02,03:00:00,04:00:00,midnight,7,1,1826
AC,1,104,low cold,2018-01-02,03:00:00,04:00:00,midnight,8,47,1476
AC,1,104,low cold,2018-01-02,05:00:00,06:00:00,early morning,9,40,1478
AC,1,104,low cold,2018-01-02,07:00:00,08:00:00,morning,10,26,1635
AC,1,104,low cold,2018-01-02,08:00:00,09:00:00,morning,0,0,1809
AC,1,104,low cold,2018-01-02,13:00:00,14:00:00,afternoon,2,29,1749
AC,1,104,low cold,2018-01-02,14:00:00,15:00:00,afternoon,9,30,1738
AC,1,104,low cold,2018-01-02,14:00:00,15:00:00,afternoon,11,20,1570
AC,1,104,low cold,2018-01-02,15:00:00,16:00:00,afternoon,0,0,1722
AC,1,104,low cold,2018-01-02,17:00:00,18:00:00,evening,4,23,1188
AC,1,104,low cold,2018-01-02,22:00:00,23:00:00,night,9,27,1525
AC,1,104,low cold,2018-01-02,22:00:00,23:00:00,night,11,37,1507
AC,1,104,low cold,2018-01-02,22:00:00,23:00:00,night,13,36,1031
AC,1,104,low cold,2018-01-02,23:00:00,00:00:00,midnight,5,31,1268
AC,1,104,low cold,2018-01-03,01:00:00,02:00:00,midnight,9,8,1807
AC,1,104,low cold,2018-01-03,01:00:00,02:00:00,midnight,9,37,1719
AC,1,104,low cold,2018-01-03,02:00:00,03:00:00,midnight,12,51,1143
AC,1,104,low cold,2018-01-03,03:00:00,04:00:00,midnight,9,15,1447
AC,1,104,low cold,2018-01-03,04:00:00,05:00:00,early morning,13,51,1593
AC,1,104,low cold,2018-01-03,09:00:00,10:00:00,morning,6,14,1776
AC,1,104,low cold,2018-01-03,10:00:00,11:00:00,morning,1,13,1189
AC,1,104,low cold,2018-01-03,11:00:00,12:00:00,morning,6,50,1429
AC,1,104,low cold,2018-01-03,11:00:00,12:00:00,morning,5,36,1111
AC,1,104,low cold,2018-01-03,14:00:00,15:00:00,afternoon,12,50,1326
AC,1,104,low cold,2018-01-03,14:00:00,15:00:00,afternoon,12,43,1220
AC,1,104,low cold,2018-01-03,15:00:00,16:00:00,afternoon,6,2,1182
AC,1,104,low cold,2018-01-03,15:00:00,16:00:00,afternoon,10,17,1238
AC,1,104,low cold,2018-01-03,17:00:00,18:00:00,evening,0,0,1924
AC,1,104,low cold,2018-01-03,17:00:00,18:00:00,evening,11,56,1429
AC,1,104,low cold,2018-01-03,19:00:00,20:00:00,night,5,11,1688
AC,1,104,low cold,2018-01-03,22:00:00,23:00:00,night,2,18,1905
AC,1,104,low cold,2018-01-04,01:00:00,02:00:00,midnight,6,15,1394
AC,1,104,low cold,2018-01-04,04:00:00,05:00:00,early morning,12,16,1684
AC,1,104,low cold,2018-01-04,08:00:00,09:00:00,morning,8,11,1674
AC,1,104,low cold,2018-01-04,09:00:00,10:00:00,morning,15,33,1695
AC,1,104,low cold,2018-01-04,10:00:00,11:00:00,morning,11,15,1411
AC,1,104,low cold,2018-01-04,10:00:00,11:00:00,morning,5,53,1146
AC,1,104,low cold,2018-01-04,14:00:00,15:00:00,afternoon,12,18,1421
AC,1,104,low cold,2018-01-04,15:00:00,16:00:00,afternoon,13,52,1900
AC,1,104,low cold,2018-01-04,15:00:00,16:00:00,afternoon,9,9,1865
AC,1,104,low cold,2018-01-04,16:00:00,17:00:00,evening,8,55,1584
AC,1,104,low cold,2018-01-04,17:00:00,18:00:00,evening,10,7,1147
AC,1,104,low cold,2018-01-04,18:00:00,19:00:00,evening,8,48,1755
AC,1,104,low cold,2018-01-04,18:00:00,19:00:00,evening,15,17,1359
AC,1,104,low cold,2018-01-04,21:00:00,22:00:00,night,6,14,1608
AC,1,104,low cold,2018-01-04,22:00:00,23:00:00,night,5,45,1688
AC,1,104,low cold,2018-01-05,01:00:00,02:00:00,midnight,7,46,1039
AC,1,104,low cold,2018-01-05,01:00:00,02:00:00,midnight,13,5,1409
AC,1,104,low cold,2018-01-05,07:00:00,08:00:00,morning,9,14,1278
AC,1,104,low cold,2018-01-05,09:00:00,10:00:00,morning,6,3,1132
AC,1,104,low cold,2018-01-05,11:00:00,12:00:00,morning,13,13,1872
AC,1,104,low cold,2018-01-05,12:00:00,13:00:00,afternoon,2,58,1618
AC,1,104,low cold,2018-01-05,14:00:00,15:00:00,afternoon,7,33,1725
AC,1,104,low cold,2018-01-05,17:00:00,18:00:00,evening,2,36,1921
AC,1,104,low cold,2018-01-05,20:00:00,21:00:00,night,9,17,1913
AC,1,104,low cold,2018-01-05,20:00:00,21:00:00,night,9,26,1905
AC,1,104,low cold,2018-01-05,21:00:00,22:00:00,night,12,32,1614
AC,1,104,low cold,2018-01-05,22:00:00,23:00:00,night,5,5,1624
Microwave,1,104,low cold,2018-01-23,00:00:00,01:00:00,midnight,11,35,1457
Microwave,1,104,low cold,2018-01-23,00:00:00,01:00:00,midnight,3,46,1306
Microwave,1,104,low cold,2018-01-23,03:00:00,04:00:00,midnight,5,7,1854
Microwave,1,104,low cold,2018-01-23,05:00:00,06:00:00,early morning,5,41,1599
Microwave,1,104,low cold,2018-01-23,10:00:00,11:00:00,morning,15,45,1271
Microwave,1,104,low cold,2018-01-23,12:00:00,13:00:00,afternoon,12,52,1616
Microwave,1,104,low cold,2018-01-23,15:00:00,16:00:00,afternoon,7,33,1397
Microwave,1,104,low cold,2018-01-23,16:00:00,17:00:00,evening,14,39,1974
Microwave,1,104,low cold,2018-01-23,17:00:00,18:00:00,evening,15,16,1618
Microwave,1,104,low cold,2018-01-23,17:00:00,18:00:00,evening,15,21,1980
Microwave,1,104,low cold,2018-01-23,18:00:00,19:00:00,evening,1,36,1661
Microwave,1,104,low cold,2018-01-23,19:00:00,20:00:00,night,13,54,1955
Microwave,1,104,low cold,2018-01-23,22:00:00,23:00:00,night,3,57,1421
Microwave,1,104,low cold,2018-01-23,23:00:00,00:00:00,midnight,2,47,1000
Microwave,1,104,low cold,2018-01-23,23:00:00,00:00:00,midnight,9,55,1248
Microwave,1,104,low cold,2018-01-24,00:00:00,01:00:00,midnight,8,33,1318
Microwave,1,104,low cold,2018-01-24,01:00:00,02:00:00,midnight,11,12,1582
Microwave,1,104,low cold,2018-01-24,01:00:00,02:00:00,midnight,15,47,1475
Microwave,1,104,low cold,2018-01-24,01:00:00,02:00:00,midnight,10,8,1691
Microwave,1,104,low cold,2018-01-24,02:00:00,03:00:00,midnight,0,0,1040
Microwave,1,104,low cold,2018-01-24,02:00:00,03:00:00,midnight,4,55,1170
Microwave,1,104,low cold,2018-01-24,04:00:00,05:00:00,early morning,0,0,1211
Microwave,1,104,low cold,2018-01-24,05:00:00,06:00:00,early morning,2,48,1998
Microwave,1,104,low cold,2018-01-24,05:00:00,06:00:00,early morning,9,1,1531
Microwave,1,104,low cold,2018-01-24,06:00:00,07:00:00,early morning,0,0,1182
Microwave,1,104,low cold,2018-01-24,07:00:00,08:00:00,morning,5,39,1662
Microwave,1,104,low cold,2018-01-24,09:00:00,10:00:00,morning,0,0,1364
Microwave,1,104,low cold,2018-01-24,14:00:00,15:00:00,afternoon,15,44,1167
Microwave,1,104,low cold,2018-01-24,14:00:00,15:00:00,afternoon,2,35,1441
Microwave,1,104,low cold,2018-01-24,16:00:00,17:00:00,evening,9,42,1793
Microwave,1,104,low cold,2018-01-24,16:00:00,17:00:00,evening,8,38,1240
Microwave,1,104,low cold,2018-01-24,16:00:00,17:00:00,evening,11,23,1459
Microwave,1,104,low cold,2018-01-24,18:00:00,19:00:00,evening,1,27,1720
Microwave,1,104,low cold,2018-01-24,19:00:00,20:00:00,night,10,10,1843
Microwave,1,104,low cold,2018-01-24,20:00:00,21:00:00,night,11,56,1098
Microwave,1,104,low cold,2018-01-24,22:00:00,23:00:00,night,0,0,1618
Microwave,1,104,low cold,2018-01-24,23:00:00,00:00:00,midnight,9,18,1269
Microwave,1,104,low cold,2018-01-25,00:00:00,01:00:00,midnight,7,5,1994
Microwave,1,104,low cold,2018-01-25,01:00:00,02:00:00,midnight,7,8,1376
Microwave,1,104,low cold,2018-01-25,02:00:00,03:00:00,midnight,3,29,1671
Microwave,1,104,low cold,2018-01-25,02:00:00,03:00:00,midnight,0,0,1560
Microwave,1,104,low cold,2018-01-25,03:00:00,04:00:00,midnight,9,5,1907
Microwave,1,104,low cold,2018-01-25,03:00:00,04:00:00,midnight,8,46,1805
Microwave,1,104,low cold,2018-01-25,03:00:00,04:00:00,midnight,5,56,1967
Microwave,1,104,low cold,2018-01-25,04:00:00,05:00:00,early morning,10,22,1836
Microwave,1,104,low cold,2018-01-25,06:00:00,07:00:00,early morning,0,0,1458
Microwave,1,104,low cold,2018-01-25,07:00:00,08:00:00,morning,15,21,1790
Microwave,1,104,low cold,2018-01-25,07:00:00,08:00:00,morning,5,36,1784
Microwave,1,104,low cold,2018-01-25,10:00:00,11:00:00,morning,11,8,1453
Microwave,1,104,low cold,2018-01-25,10:00:00,11:00:00,morning,7,9,1765
Microwave,1,104,low cold,2018-01-25,12:00:00,13:00:00,afternoon,15,51,1257
Microwave,1,104,low cold,2018-01-25,12:00:00,13:00:00,afternoon,8,38,1137
Microwave,1,104,low cold,2018-01-25,12:00:00,13:00:00,afternoon,11,25,1541
Microwave,1,104,low cold,2018-01-25,15:00:00,16:00:00,afternoon,13,54,1565
Microwave,1,104,low cold,2018-01-25,16:00:00,17:00:00,evening,13,35,1207
Microwave,1,104,low cold,2018-01-25,18:00:00,19:00:00,evening,12,25,1755
Microwave,1,104,low cold,2018-01-25,18:00:00,19:00:00,evening,10,8,1296
Microwave,1,104,low cold,2018-01-25,19:00:00,20:00:00,night,5,46,1485
Microwave,1,104,low cold,2018-01-25,20:00:00,21:00:00,night,6,25,1376
Microwave,1,104,low cold,2018-01-25,21:00:00,22:00:00,night,2,53,1020
Microwave,1,104,low cold,2018-01-26,02:00:00,03:00:00,midnight,9,25,1191
Microwave,1,104,low cold,2018-01-26,03:00:00,04:00:00,midnight,3,51,1671
Microwave,1,104,low cold,2018-01-26,05:00:00,06:00:00,early morning,13,24,1826
Microwave,1,104,low cold,2018-01-26,06:00:00,07:00:00,early morning,11,26,1851
Microwave,1,104,low cold,2018-01-26,06:00:00,07:00:00,early morning,9,56,1018
Microwave,1,104,low cold,2018-01-26,07:00:00,08:00:00,morning,13,46,1595
Microwave,1,104,low cold,2018-01-26,07:00:00,08:00:00,morning,0,0,1864
Microwave,1,104,low cold,2018-01-26,09:00:00,10:00:00,morning,15,1,1262
Microwave,1,104,low cold,2018-01-26,11:00:00,12:00:00,morning,2,42,1879
Microwave,1,104,low cold,2018-01-26,14:00:00,15:00:00,afternoon,7,52,1092
Microwave,1,104,low cold,2018-01-26,15:00:00,16:00:00,afternoon,15,57,1246
Microwave,1,104,low cold,2018-01-26,18:00:00,19:00:00,evening,1,28,1585
Microwave,1,104,low cold,2018-01-26,19:00:00,20:00:00,night,10,11,1678
Microwave,1,104,low cold,2018-01-26,21:00:00,22:00:00,night,14,5,1588
Microwave,1,104,low cold,2018-01-26,23:00:00,00:00:00,midnight,6,44,1920
Microwave,1,104,low cold,2018-01-26,23:00:00,00:00:00,midnight,15,21,1426
Microwave,1,104,low cold,2018-01-27,07:00:00,08:00:00,morning,6,42,1712
Microwave,1,104,low cold,2018-01-27,10:00:00,11:00:00,morning,15,54,1947
Microwave,1,104,low cold,2018-01-27,15:00:00,16:00:00,afternoon,4,41,1986
Microwave,1,104,low cold,2018-01-27,21:00:00,22:00:00,night,1,38,1024
Lights,1,105,low cold,2018-01-05,00:00:00,01:00:00,midnight,9,32,1721
Lights,1,105,low cold,2018-01-05,01:00:00,02:00:00,midnight,15,40,1642
Lights,1,105,low cold,2018-01-05,02:00:00,03:00:00,midnight,6,3,1776
Lights,1,105,low cold,2018-01-05,02:00:00,03:00:00,midnight,1,15,1339
Lights,1,105,low cold,2018-01-05,03:00:00,04:00:00,midnight,14,36,1770
Lights,1,105,low cold,2018-01-05,10:00:00,11:00:00,morning,13,40,1593
Lights,1,105,low cold,2018-01-05,10:00:00,11:00:00,morning,14,57,1104
Lights,1,105,low cold,2018-01-05,11:00:00,12:00:00,morning,14,48,1602
Lights,1,105,low cold,2018-01-05,12:00:00,13:00:00,afternoon,10,35,1785
Lights,1,105,low cold,2018-01-05,15:00:00,16:00:00,afternoon,13,55,1791
Lights,1,105,low cold,2018-01-05,18:00:00,19:00:00,evening,9,51,1739
Lights,1,105,low cold,2018-01-05,19:00:00,20:00:00,night,10,40,1580
Lights,1,105,low cold,2018-01-05,20:00:00,21:00:00,night,8,57,1226
Lights,1,105,low cold,2018-01-05,21:00:00,22:00:00,night,0,0,1422
Lights,1,105,low cold,2018-01-06,00:00:00,01:00:00,midnight,6,5,1056
Lights,1,105,low cold,2018-01-06,10:00:00,11:00:00,morning,7,20,1712
Lights,1,105,low cold,2018-01-06,14:00:00,15:00:00,afternoon,15,12,1276
Lights,1,105,low cold,2018-01-06,14:00:00,15:00:00,afternoon,6,2,1971
Lights,1,105,low cold,2018-01-06,16:00:00,17:00:00,evening,7,14,1096
Lights,1,105,low cold,2018-01-06,17:00:00,18:00:00,evening,14,45,1999
Lights,1,105,low cold,2018-01-06,18:00:00,19:00:00,evening,8,48,1997
Lights,1,105,low cold,2018-01-06,19:00:00,20:00:00,night,12,9,1665
Lights,1,105,low cold,2018-01-06,21:00:00,22:00:00,night,4,32,1323
Lights,1,105,low cold,2018-01-06,22:00:00,23:00:00,night,1,35,1241
Lights,1,105,low cold,2018-01-06,23:00:00,00:00:00,midnight,3,46,1233
Lights,1,105,low cold,2018-01-07,00:00:00,01:00:00,midnight,15,45,1882
Lights,1,105,low cold,2018-01-07,00:00:00,01:00:00,midnight,10,45,1561
Lights,1,105,low cold,2018-01-07,03:00:00,04:00:00,midnight,2,8,1754
Lights,1,105,low cold,2018-01-07,06:00:00,07:00:00,early morning,6,48,1814
Lights,1,105,low cold,2018-01-07,07:00:00,08:00:00,morning,7,46,1369
Lights,1,105,low cold,2018-01-07,07:00:00,08:00:00,morning,7,51,1284
Lights,1,105,low cold,2018-01-07,12:00:00,13:00:00,afternoon,10,58,1140
Lights,1,105,low cold,2018-01-07,12:00:00,13:00:00,afternoon,2,44,1347
Lights,1,105,low cold,2018-01-07,12:00:00,13:00:00,afternoon,6,17,1680
Lights,1,105,low cold,2018-01-07,13:00:00,14:00:00,afternoon,5,38,1149
